pres_trial	stimulus	type	latency
43	Picture	R	138645.0
43	Picture	S	139005.0
43	Picture	V	139366.0
43	Picture	Y	139726.0
43	Picture	H	140087.0
43	Picture	WM	140447.0
43	Picture	rC	141038.0
43	Response	255	141291.992
44	Sound	correct	141411.192
44	Response	1	142049.992
45	Picture	nonWM	142068.0
45	Picture	W	143380.0
45	Picture	gT	143740.0
45	Picture	M	144101.0
45	Picture	P	144461.0
45	Picture	G	144822.0
45	Picture	H	145182.0
45	Picture	Z	145542.0
45	Picture	N	145903.0
45	Picture	WM	146263.0
45	Picture	rM	147084.0
45	Response	1	147269.992
46	Sound	correct	147389.192
46	Response	255	148120.992
47	Picture	nonWM	148136.0
47	Picture	gZ	149448.0
47	Picture	T	149808.0
47	Picture	M	150169.0
47	Picture	S	150529.0
47	Picture	gY	150889.0
47	Picture	V	151250.0
47	Picture	N	151610.0
47	Picture	gH	151970.0
47	Picture	WM	152331.0
47	Picture	rQ	152930.0
47	Response	255	153208.992
48	Sound	correct	153328.192
48	Response	1	153834.992
49	Picture	nonWM	153852.0
49	Picture	T	155164.0
49	Picture	gH	155524.0
49	Picture	X	155884.0
49	Picture	S	156245.0
49	Picture	W	156605.0
49	Picture	Q	156965.0
49	Picture	K	157326.0
49	Picture	D	157686.0
49	Picture	WM	158047.0
49	Picture	rF	158683.0
49	Response	255	158949.992
50	Sound	correct	159069.192
50	Response	1	160570.992
1	Picture	nonWM	164112.0
1	Picture	M	165423.0
1	Picture	gQ	165784.0
1	Picture	W	166144.0
1	Picture	B	166504.0
1	Picture	Z	166865.0
1	Picture	D	167225.0
1	Picture	R	167585.0
1	Picture	L	167946.0
1	Picture	WM	168306.0
1	Picture	rY	169132.0
1	Response	255	169299.992
2	Sound	correct	169419.192
2	Response	255	169767.992
3	Picture	nonWM	169786.0
3	Picture	P	171097.0
3	Picture	gK	171457.0
3	Picture	B	171818.0
3	Picture	gY	172178.0
3	Picture	D	172539.0
3	Picture	gM	172899.0
3	Picture	gC	173259.0
3	Picture	gF	173620.0
3	Picture	WM	173980.0
3	Picture	rP	174818.0
3	Response	1	174954.992
4	Sound	correct	175074.192
4	Response	255	175211.992
5	Picture	nonWM	175229.0
5	Picture	V	176540.0
5	Picture	gC	176901.0
5	Picture	gH	177261.0
5	Picture	M	177622.0
5	Picture	gD	177982.0
5	Picture	Q	178342.0
5	Picture	Z	178703.0
5	Picture	Y	179063.0
5	Picture	WM	179423.0
5	Picture	rJ	180425.0
5	Response	255	180583.992
6	Sound	correct	180703.192
6	Response	1	181018.992
7	Picture	nonWM	181037.0
7	Picture	R	182348.0
7	Picture	C	182709.0
7	Picture	gX	183069.0
7	Picture	H	183430.0
7	Picture	N	183790.0
7	Picture	P	184150.0
7	Picture	gM	184511.0
7	Picture	gL	184871.0
7	Picture	WM	185231.0
7	Picture	rP	186074.0
7	Response	255	186265.992
8	Sound	wrong	186385.192
8	Response	1	187062.992
9	Picture	nonWM	187079.0
9	Picture	gH	188391.0
9	Picture	T	188751.0
9	Picture	X	189112.0
9	Picture	V	189472.0
9	Picture	gF	189833.0
9	Picture	K	190193.0
9	Picture	gC	190553.0
9	Picture	G	190914.0
9	Picture	WM	191274.0
9	Picture	rX	191861.0
9	Response	1	192111.992
10	Sound	correct	192231.192
10	Response	255	193153.992
11	Picture	nonWM	193172.0
11	Picture	T	194484.0
11	Picture	Y	194844.0
11	Picture	K	195205.0
11	Picture	Z	195565.0
11	Picture	F	195925.0
11	Picture	gQ	196286.0
11	Picture	gG	196646.0
11	Picture	gW	197006.0
11	Picture	WM	197367.0
11	Picture	rL	198343.0
11	Response	255	198538.992
12	Sound	correct	198658.192
12	Response	1	199079.992
13	Picture	nonWM	199097.0
13	Picture	H	200409.0
13	Picture	D	200769.0
13	Picture	W	201130.0
13	Picture	Y	201490.0
13	Picture	gK	201851.0
13	Picture	P	202211.0
13	Picture	X	202571.0
13	Picture	V	202932.0
13	Picture	WM	203292.0
13	Picture	rX	204130.0
13	Response	1	204339.992
14	Sound	correct	204459.192
14	Response	255	204793.992
15	Picture	nonWM	204813.0
15	Picture	V	206125.0
15	Picture	gW	206485.0
15	Picture	gS	206845.0
15	Picture	R	207206.0
15	Picture	gB	207566.0
15	Picture	N	207927.0
15	Picture	gP	208287.0
15	Picture	gZ	208647.0
15	Picture	WM	209008.0
15	Picture	rX	210030.0
15	Response	255	210277.992
16	Sound	correct	210397.192
16	Response	1	210699.992
17	Picture	nonWM	210717.0
17	Picture	C	212029.0
17	Picture	gV	212389.0
